t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
461.020233,0.005637,0.5171,122.4307,0,,,,,
462.020447,0.031103,2.8536,675.5906,0,,,,,
463.019501,0.038431,3.5258,834.7405,0,,,,,
464.019714,0.035739,3.2789,776.2808,1,455.020111,341.4141,1,-1,1
465.019928,0.038551,3.5369,837.3579,0,,,,,
466.020172,0.035631,3.2690,773.9301,0,,,,,
467.020386,0.038556,3.5373,837.4653,0,,,,,
468.019409,0.035437,3.2512,769.7168,0,,,,,
469.019653,0.038747,3.5549,841.6119,0,,,,,
470.019867,0.035506,3.2575,771.2173,0,,,,,
471.020111,0.038620,3.5432,838.8466,0,,,,,
472.020294,0.035821,3.2865,778.0676,1,463.019501,479.4746,1,-1,1
473.020508,0.038001,3.4864,825.4017,0,,,,,
474.019592,0.036788,3.3751,799.0568,0,,,,,
475.019775,0.036715,3.3684,797.4776,0,,,,,
476.019989,0.038128,3.4980,828.1607,0,,,,,
477.020233,0.035426,3.2502,769.4852,0,,,,,
478.020447,0.038728,3.5531,841.1903,0,,,,,
479.019501,0.035441,3.2515,769.8036,0,,,,,
480.019714,0.037989,3.4853,825.1561,0,,,,,
481.019928,0.036694,3.3665,797.0297,0,,,,,
482.020172,0.036585,3.3565,794.6489,0,,,,,
483.020355,0.038108,3.4962,827.7321,0,,,,,
484.019409,0.035291,3.2378,766.5527,0,,,,,
485.019653,0.038652,3.5462,839.5550,0,,,,,
486.019836,0.035553,3.2618,772.2428,0,,,,,
487.020050,0.037592,3.4489,816.5158,0,,,,,
488.020294,0.037315,3.4235,810.5019,0,,,,,
489.020508,0.035681,3.2736,775.0212,0,,,,,
490.019562,0.038546,3.5364,837.2539,0,,,,,
491.019775,0.035180,3.2276,764.1438,0,,,,,
492.019989,0.038176,3.5025,829.2131,0,,,,,
493.020233,0.036474,3.3463,792.2374,0,,,,,
494.020416,0.031244,2.8665,678.6534,0,,,,,
495.019501,0.000042,0.0039,0.9205,0,,,,,
496.019714,0.000037,0.0034,0.8072,0,,,,,
497.019897,0.000041,0.0038,0.9004,0,,,,,
498.020142,0.000037,0.0034,0.8116,0,,,,,
499.020355,0.000040,0.0036,0.8606,0,,,,,
500.019379,0.000039,0.0036,0.8517,0,,,,,
501.019623,0.000038,0.0035,0.8286,0,,,,,
502.019836,0.000042,0.0038,0.9051,0,,,,,
503.020050,0.000037,0.0034,0.8086,1,494.020416,794.3220,-1,-1,1
504.020294,0.000041,0.0037,0.8813,0,,,,,
505.020477,0.000039,0.0035,0.8398,0,,,,,
506.019562,0.000039,0.0036,0.8463,0,,,,,
507.019775,0.000040,0.0037,0.8790,0,,,,,
508.019958,0.000037,0.0034,0.8144,0,,,,,
509.020203,0.000042,0.0039,0.9217,0,,,,,
510.020416,0.000038,0.0035,0.8336,0,,,,,
511.019470,0.000039,0.0036,0.8520,0,,,,,
512.019653,0.000040,0.0037,0.8695,0,,,,,
513.019897,0.000038,0.0035,0.8187,0,,,,,
514.020142,0.000042,0.0038,0.9083,0,,,,,
