t_s,vrms,irms,power,event,event_t_s,delta_va,direction,cluster,fragments
243.020523,0.037094,3.4032,805.7017,0,,,,,
244.019577,0.036145,3.3162,785.1016,0,,,,,
245.019806,0.037071,3.4011,805.2140,0,,,,,
246.020020,0.036079,3.3101,783.6554,0,,,,,
247.020233,0.037120,3.4056,806.2822,0,,,,,
248.020447,0.036105,3.3124,784.2192,0,,,,,
249.019501,0.037011,3.3956,803.9075,0,,,,,
250.019730,0.036157,3.3172,785.3491,0,,,,,
251.019943,0.036868,3.3825,800.7985,0,,,,,
252.020157,0.036211,3.3222,786.5375,0,,,,,
253.020370,0.036859,3.3817,800.6071,0,,,,,
254.019424,0.036341,3.3341,789.3492,0,,,,,
255.019653,0.036750,3.3716,798.2330,0,,,,,
256.019867,0.036417,3.3411,790.9940,0,,,,,
257.020081,0.036647,3.3622,795.9996,0,,,,,
258.020294,0.036580,3.3561,794.5523,0,,,,,
259.020508,0.036455,3.3445,791.8199,0,,,,,
260.019562,0.036770,3.3735,798.6736,0,,,,,
261.019806,0.036232,3.3241,786.9820,0,,,,,
262.019989,0.036951,3.3900,802.5936,0,,,,,
263.020233,0.036061,3.3084,783.2722,0,,,,,
264.020447,0.037039,3.3982,804.5220,0,,,,,
265.019501,0.036068,3.3091,783.4296,0,,,,,
266.019714,0.037009,3.3954,803.8726,0,,,,,
267.019928,0.036152,3.3168,785.2410,0,,,,,
268.020142,0.036744,3.3711,798.0969,0,,,,,
269.020355,0.036316,3.3319,788.8201,0,,,,,
270.019409,0.036507,3.3493,792.9522,0,,,,,
271.019653,0.036574,3.3555,794.4100,0,,,,,
272.019836,0.036318,3.3320,788.8475,0,,,,,
273.020050,0.036753,3.3720,798.3098,0,,,,,
274.020294,0.036154,3.3170,785.2974,0,,,,,
275.020508,0.036906,3.3860,801.6325,0,,,,,
276.019562,0.036066,3.3089,783.3826,0,,,,,
277.019775,0.036964,3.3913,802.8920,0,,,,,
278.019989,0.035987,3.3016,781.6578,0,,,,,
279.020233,0.036983,3.3930,803.2964,0,,,,,
280.020416,0.035999,3.3028,781.9322,0,,,,,
281.019501,0.036967,3.3916,802.9531,0,,,,,
282.019714,0.036069,3.3092,783.4416,0,,,,,
283.019897,0.036852,3.3810,800.4457,0,,,,,
284.020142,0.036259,3.3266,787.5616,0,,,,,
285.020355,0.036677,3.3650,796.6567,0,,,,,
286.019379,0.036485,3.3473,792.4769,0,,,,,
287.019623,0.036354,3.3353,789.6398,0,,,,,
288.019836,0.036688,3.3660,796.8990,0,,,,,
289.020050,0.036114,3.3133,784.4164,0,,,,,
290.020294,0.036911,3.3864,801.7396,0,,,,,
291.020477,0.035937,3.2971,780.5823,0,,,,,
292.019562,0.036974,3.3922,803.0934,0,,,,,
293.019775,0.036091,3.3112,783.9274,0,,,,,
294.019958,0.036731,3.3699,797.8336,0,,,,,
295.020203,0.036326,3.3327,789.0201,0,,,,,
296.020416,0.036300,3.3303,788.4567,0,,,,,
297.019470,0.036517,3.3503,793.1818,0,,,,,
298.019684,0.035993,3.3022,781.8039,0,,,,,
299.019897,0.036708,3.3678,797.3352,0,,,,,
300.020142,0.035852,3.2892,778.7283,0,,,,,
301.020355,0.028728,2.6357,623.9968,0,,,,,
302.019379,0.000038,0.0035,0.8172,0,,,,,
303.019623,0.000038,0.0035,0.8257,0,,,,,
304.019836,0.000037,0.0034,0.8018,0,,,,,
305.020050,0.000038,0.0035,0.8304,0,,,,,
306.020264,0.000037,0.0034,0.7937,0,,,,,
307.020477,0.000038,0.0035,0.8322,0,,,,,
308.019562,0.000037,0.0034,0.8062,0,,,,,
309.019745,0.000037,0.0034,0.8021,0,,,,,
310.019958,0.000037,0.0034,0.8000,1,301.020355,785.1412,-1,-1,1
311.020203,0.000038,0.0035,0.8220,0,,,,,
312.020416,0.000036,0.0033,0.7821,0,,,,,
313.019470,0.000038,0.0035,0.8237,0,,,,,
314.019684,0.000036,0.0033,0.7874,0,,,,,
315.019897,0.000037,0.0034,0.8024,0,,,,,
316.020142,0.000037,0.0034,0.8043,0,,,,,
317.020325,0.000036,0.0033,0.7918,0,,,,,
318.019379,0.000037,0.0034,0.8109,0,,,,,
319.019623,0.000036,0.0033,0.7801,0,,,,,
320.019806,0.000038,0.0035,0.8189,0,,,,,
321.020020,0.000037,0.0034,0.8102,0,,,,,
322.020264,0.000037,0.0034,0.8014,0,,,,,
323.020477,0.000038,0.0035,0.8228,0,,,,,
324.019531,0.000037,0.0034,0.8078,0,,,,,
325.019745,0.000037,0.0034,0.8096,0,,,,,
326.019958,0.000037,0.0034,0.8122,0,,,,,
327.020203,0.000038,0.0035,0.8174,0,,,,,
328.020386,0.000036,0.0033,0.7883,0,,,,,
329.019470,0.000038,0.0035,0.8207,0,,,,,
330.019684,0.000037,0.0034,0.8017,0,,,,,
331.019867,0.000038,0.0035,0.8183,0,,,,,
332.020111,0.000024,0.0022,0.5147,0,,,,,
333.020325,0.000013,0.0012,0.2730,0,,,,,
334.019379,0.000014,0.0012,0.2940,0,,,,,
335.019592,0.000013,0.0012,0.2781,0,,,,,
336.019806,0.000013,0.0012,0.2873,0,,,,,
337.020020,0.000013,0.0012,0.2855,0,,,,,
338.020264,0.000013,0.0012,0.2785,0,,,,,
339.020477,0.000013,0.0012,0.2892,0,,,,,
340.019531,0.000013,0.0012,0.2896,0,,,,,
341.019745,0.000013,0.0012,0.2883,0,,,,,
342.019958,0.000013,0.0012,0.2873,0,,,,,
343.020172,0.000013,0.0012,0.2899,0,,,,,
344.020386,0.000013,0.0012,0.2867,0,,,,,
345.019470,0.000013,0.0012,0.2841,0,,,,,
346.019653,0.000013,0.0012,0.2838,0,,,,,
347.019867,0.000013,0.0012,0.2836,0,,,,,
348.020111,0.000013,0.0012,0.2864,0,,,,,
349.020325,0.000013,0.0012,0.2858,0,,,,,
350.020538,0.000013,0.0012,0.2824,0,,,,,
351.019592,0.000013,0.0012,0.2877,0,,,,,
352.019806,0.000013,0.0012,0.2850,0,,,,,
353.020020,0.000013,0.0012,0.2871,0,,,,,
354.020233,0.000013,0.0012,0.2805,0,,,,,
355.020447,0.000013,0.0012,0.2828,0,,,,,
356.019531,0.000014,0.0012,0.2950,0,,,,,
357.019714,0.000013,0.0012,0.2871,0,,,,,
358.019928,0.000013,0.0011,0.2717,0,,,,,
359.020172,0.000014,0.0012,0.2958,0,,,,,
360.020386,0.000013,0.0012,0.2815,0,,,,,
361.019409,0.000013,0.0012,0.2877,0,,,,,
362.019653,0.000013,0.0012,0.2757,0,,,,,
363.019867,0.000013,0.0012,0.2816,0,,,,,
364.020111,0.000013,0.0012,0.2932,0,,,,,
365.020294,0.000013,0.0012,0.2843,0,,,,,
366.020508,0.000014,0.0013,0.3018,0,,,,,
367.019592,0.000013,0.0012,0.2876,0,,,,,
368.019775,0.000014,0.0012,0.2934,0,,,,,
369.019989,0.000140,0.0128,3.0353,0,,,,,
370.020233,0.000014,0.0013,0.2984,0,,,,,
371.020447,0.000014,0.0013,0.3018,0,,,,,
372.019501,0.000013,0.0012,0.2727,0,,,,,
373.019714,0.000013,0.0012,0.2915,0,,,,,
374.019928,0.000013,0.0012,0.2808,0,,,,,
375.020172,0.000013,0.0012,0.2902,0,,,,,
376.020355,0.000013,0.0012,0.2853,0,,,,,
377.019409,0.000013,0.0012,0.2820,0,,,,,
378.019653,0.000013,0.0012,0.2928,0,,,,,
379.019867,0.000013,0.0012,0.2828,0,,,,,
380.020050,0.000013,0.0012,0.2808,0,,,,,
381.020294,0.000014,0.0013,0.2997,0,,,,,
382.020508,0.000013,0.0012,0.2891,0,,,,,
383.019562,0.000013,0.0012,0.2784,0,,,,,
384.019775,0.000013,0.0012,0.2758,0,,,,,
385.019989,0.000013,0.0012,0.2901,0,,,,,
386.020233,0.000013,0.0012,0.2885,0,,,,,
387.020416,0.000013,0.0012,0.2764,0,,,,,
388.019501,0.000014,0.0012,0.2938,0,,,,,
389.019714,0.000012,0.0011,0.2706,0,,,,,
390.019897,0.000013,0.0012,0.2890,0,,,,,
391.020142,0.000013,0.0012,0.2894,0,,,,,
392.020355,0.000013,0.0012,0.2865,0,,,,,
393.019379,0.000013,0.0012,0.2898,0,,,,,
394.019623,0.000013,0.0012,0.2775,0,,,,,
395.019836,0.000013,0.0012,0.2893,0,,,,,
396.020050,0.000013,0.0012,0.2826,0,,,,,
397.020294,0.000013,0.0012,0.2854,0,,,,,
398.020477,0.000013,0.0012,0.2802,0,,,,,
399.019562,0.000013,0.0012,0.2931,0,,,,,
400.019775,0.000014,0.0013,0.2970,0,,,,,
401.019958,0.000013,0.0012,0.2890,0,,,,,
402.020203,0.000013,0.0012,0.2890,0,,,,,
403.020416,0.000014,0.0013,0.3018,0,,,,,
404.019501,0.000013,0.0012,0.2826,0,,,,,
405.019684,0.000013,0.0012,0.2926,0,,,,,
406.019897,0.000013,0.0012,0.2819,0,,,,,
407.020142,0.000013,0.0012,0.2873,0,,,,,
408.020355,0.000013,0.0012,0.2880,0,,,,,
409.019379,0.000013,0.0012,0.2899,0,,,,,
410.019623,0.000013,0.0012,0.2849,0,,,,,
411.019836,0.000013,0.0012,0.2928,0,,,,,
412.020050,0.000013,0.0012,0.2815,0,,,,,
413.020264,0.000013,0.0012,0.2921,0,,,,,
414.020477,0.000013,0.0012,0.2892,0,,,,,
415.019562,0.000013,0.0012,0.2780,0,,,,,
416.019745,0.000014,0.0012,0.2935,0,,,,,
417.019958,0.000013,0.0012,0.2853,0,,,,,
418.020203,0.000014,0.0012,0.2935,0,,,,,
419.020416,0.000013,0.0012,0.2838,0,,,,,
420.019470,0.000013,0.0012,0.2874,0,,,,,
421.019684,0.000013,0.0012,0.2931,0,,,,,
422.019897,0.000013,0.0012,0.2846,0,,,,,
423.020142,0.000013,0.0012,0.2884,0,,,,,
424.020325,0.000014,0.0012,0.2944,0,,,,,
425.019379,0.000013,0.0012,0.2876,0,,,,,
426.019623,0.000013,0.0012,0.2864,0,,,,,
427.019806,0.000013,0.0012,0.2841,0,,,,,
428.020020,0.000013,0.0012,0.2794,0,,,,,
429.020264,0.000013,0.0012,0.2781,0,,,,,
430.020477,0.000013,0.0012,0.2767,0,,,,,
