point,turns,load,sample_index,vrms_v,included_in_mean,note
10turn_confirmed,10,soldering_iron,15,0.028667,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,16,0.028705,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,17,0.028642,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,18,0.028651,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,19,0.028586,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,20,0.028563,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,21,0.028542,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,22,0.028494,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,23,0.028542,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,24,0.028662,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,25,0.028770,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,26,0.028761,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,27,0.028658,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,28,0.028645,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,29,0.028543,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,30,0.028483,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,31,0.028497,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,32,0.028493,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,33,0.028548,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,34,0.028640,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,35,0.028626,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,36,0.028626,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,37,0.028594,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,38,0.028662,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,39,0.028655,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,40,0.028654,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,41,0.028655,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,42,0.028634,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,43,0.028605,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,44,0.028591,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
10turn_confirmed,10,soldering_iron,45,0.028592,True,connection reseated; used for ADC-vs-multimeter cross-check (multimeter read 28.9/29.0 mV)
sandwich_cycle_1,1,sandwich_maker,1,0.005568,False,on-cycle after first cutoff; ramp-in (1-4) and cutoff tail (33-35) trimmed; no mains V paired
sandwich_cycle_1,1,sandwich_maker,2,0.005015,False,on-cycle after first cutoff; ramp-in (1-4) and cutoff tail (33-35) trimmed; no mains V paired
