iso_time,t_s,voltage_v,current_a,power_w,energy_kwh,raw_dps
2026-08-27T21:05:13.408,39.167,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:14.430,40.172,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:15.445,41.176,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:16.423,42.177,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:17.447,43.178,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:18.436,44.183,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:19.448,45.188,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:20.440,46.191,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:21.442,47.196,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:22.447,48.201,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:23.450,49.206,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:24.464,50.211,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:25.455,51.212,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:26.505,52.216,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:27.487,53.221,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:28.476,54.226,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:29.479,55.229,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:30.507,56.231,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:31.481,57.236,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:32.491,58.241,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:33.491,59.243,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:34.500,60.244,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:35.493,61.247,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:36.502,62.25,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
2026-08-27T21:05:37.518,63.254,240.9,0.0,0.0,,"{""1"":true,""9"":0,""18"":0,""19"":0,""20"":2409,""21"":1,""22"":564,""23"":26748,""24"":14621,""25"":2840,""26"":0,""38"":""memory"",""41"":false,""44"":""""}"
